id,mode,genre,duration,key,tempo,time_signature
"Fuck My Cousin, Pt. II (feat. Lil Durk) ( Lil Zay Osama )",0,hip hop,194560,9,157.948,4
In My Head ( Juice WRLD ),0,hip hop,192000,5,160.011,4
DFMU ( Ella Mai ),1,pop,197517,6,136.759,4
AHHH HA ( Lil Durk ),1,other,186538,1,156.005,4
"Shake It (feat. Cardi B, Dougie B & Bory300) ( Kay Flock )",1,other,118249,1,140.051,4
Alone ( Rod Wave ),0,hip hop,191159,3,82.07,4
Super Freaky Girl ( Nicki Minaj ),1,pop,170977,2,133.01,4
What’s My Name (with Queen Naija & Coi Leray) ( Fivio Foreign ),0,other,201399,1,143.032,4
Nothing Changed ( Quavo ),0,hip hop,199111,5,134.902,4
300 Blackout ( Kodak Black ),0,other,166494,0,167.903,4
Freaky Deaky ( Tyga ),0,pop,215281,2,104.019,4
N95 ( Kendrick Lamar ),1,hip hop,195950,1,139.956,4
Right On ( Lil Baby ),1,hip hop,213976,2,165.991,4
"GOD DID (feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy) ( DJ Khaled )",1,hip hop,501648,8,82.212,4
Back to Back DD osama ( Back to Back DD osama ),1,other,128865,5,158.077,4
NVMD ( Denise Julia ),1,hip hop,181224,6,97.977,4
Rich Spirit ( Kendrick Lamar ),0,hip hop,202285,10,95.977,4
BILLIE EILISH. ( Armani White ),1,hip hop,99283,1,100.024,4
Spread Thin ( Mariah the Scientist ),0,hip hop,202520,6,110.113,4
Me or Sum (feat. Future & Lil Baby) ( Nardo Wick ),1,other,225664,1,160.517,4
Mopstick (feat. Kodak Black) ( French Montana ),1,hip hop,216415,1,163.979,4
Toxic ( YG ),0,hip hop,213289,10,99.998,4
1000 Blunts ( $uicideboy$ ),0,hip hop,175476,5,132.99,4
Bullseye 2 (with Future) ( Real Boston Richey ),1,other,157397,11,106.584,5
Get Away ( Young Dolph ),1,hip hop,180760,1,140.078,4
What Happened To Virgil (feat. Gunna) ( Lil Durk ),0,other,181393,6,140.037,4
I'M DAT N**** ( Future ),1,hip hop,271840,2,144.026,4
WTF ( Hotboii ),0,other,177275,0,158.144,4
Count Me Out ( Kendrick Lamar ),0,hip hop,283642,4,133.999,4
Hide & Seek ( Stormzy ),1,other,209291,2,104.908,4
Blessed ( GloRilla ),1,hip hop,216000,2,79.95,4
On tha linë ( Yeat ),0,other,154787,1,149.106,4
Black ( YoungBoy Never Broke Again ),1,hip hop,128000,2,75.04,4
Cold December ( Rod Wave ),1,hip hop,192022,11,169.913,4
Churchill Downs (feat. Drake) ( Jack Harlow ),1,hip hop,309327,11,96.448,4
Dead Opps ( Notti Osama ),1,other,124762,5,145.976,4
Sticky ( Drake ),1,hip hop,243228,6,137.027,4
Sweet Little Lies ( Rod Wave ),1,hip hop,174750,10,159.978,4
Betty (Get Money) ( Yung Gravy ),1,hip hop,146471,1,102.004,4
Back In Black ( AC/DC ),1,rock,255493,9,188.386,4
You Shook Me All Night Long ( AC/DC ),1,rock,210173,7,127.361,4
Highway to Hell ( AC/DC ),0,rock,208400,6,115.728,4
Dream On ( Aerosmith ),1,rock,266960,1,160.9,4
Poison ( Alice Cooper ),0,rock,270080,2,118.698,4
Only Time Will Tell ( Asia ),0,rock,284893,9,125.544,4
If You Needed Somebody ( Bad Company ),1,rock,261000,7,168.324,4
Rebel Yell ( Billy Idol ),0,rock,288533,4,166.312,4
Paranoid ( Black Sabbath ),0,rock,168440,4,162.734,4
Iron Man ( Black Sabbath ),1,rock,354774,9,157.378,4
(Don't Fear) The Reaper ( Blue Öyster Cult ),0,rock,308120,9,141.466,4
You Give Love A Bad Name ( Bon Jovi ),0,rock,222707,0,122.803,4
Livin' On A Prayer ( Bon Jovi ),1,rock,249293,0,122.511,4
More Than a Feeling ( Boston ),1,rock,285133,7,108.789,4
Summer Of '69 ( Bryan Adams ),1,rock,216053,2,139.131,4
Should I Stay or Should I Go - Remastered ( The Clash ),1,rock,188987,2,113.375,4
Have You Ever Seen The Rain ( Creedence Clearwater Revival ),1,rock,160133,0,116.109,4
Fortunate Son ( Creedence Clearwater Revival ),1,rock,140773,0,132.77,4
Perfect Strangers ( Deep Purple ),1,rock,328427,2,97.578,4
Smoke On The Water - Remastered 2012 ( Deep Purple ),1,rock,340742,0,114.169,4
Highway Star - Remastered 2012 ( Deep Purple ),0,rock,366136,9,173.674,4
Black Night - 1995 Remaster ( Deep Purple ),1,rock,209400,9,134.719,4
Rock Of Ages ( Def Leppard ),0,rock,247829,11,105.893,4
Layla ( Derek & The Dominos ),1,rock,423840,1,115.669,4
Rainbow In The Dark ( Dio ),0,rock,252693,9,117.582,4
Walk Of Life ( Dire Straits ),1,rock,249960,4,172.427,4
Sultans Of Swing ( Dire Straits ),1,rock,348624,5,148.174,4
Light My Fire ( The Doors ),0,rock,429760,3,124.618,4
Roadhouse Blues ( The Doors ),1,rock,243827,9,121.119,4
Hotel California - 2013 Remaster ( Eagles ),1,rock,391376,2,147.125,4
"Rocket Man (I Think It's Going To Be A Long, Long Time) ( Elton John )",1,rock,281613,10,136.571,4
Cocaine ( Eric Clapton ),1,rock,221640,9,105.267,4
The Final Countdown ( Europe ),0,rock,310333,6,117.662,4
Bad To The Bone ( George Thorogood & The Destroyers ),1,rock,292173,0,149.231,1
Paradise City ( Guns N' Roses ),1,rock,405640,11,100.271,4
Sweet Child O' Mine ( Guns N' Roses ),1,rock,354520,6,125.116,4
November Rain ( Guns N' Roses ),1,rock,536067,11,79.759,4
The Power Of Love ( Huey Lewis & The News ),1,rock,234333,5,118.773,4
Run to the Hills - 2015 Remaster ( Iron Maiden ),1,rock,233507,0,173.671,4
The Trooper - 2015 Remaster ( Iron Maiden ),0,rock,252733,4,159.756,4
The Number of the Beast - 2015 Remaster ( Iron Maiden ),1,rock,290587,0,100.409,4
Hey Joe ( Jimi Hendrix ),1,rock,210160,9,169.492,4
I Love Rock 'N Roll ( Joan Jett & the Blackhearts ),1,other,175173,4,94.379,4
Don't Stop Believin' ( Journey ),1,rock,250987,4,118.852,4
Carry on Wayward Son ( Kansas ),1,rock,323000,7,126.755,4
